Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,6650,1.5,
,,,220,-4,
,,,2430,0.5,
,,,3030,-7.5,
,,,3660,-0.5,
,,,470,-6,
,,,150,1.5,
,,,640,-5.5,
,,,4820,-4.5,
,,,980,-1,
,,,5170,-1,
,,,180,0.5,
,,,2960,-3.5,
,,,2910,-1.5,
,,,5910,0.5,
,,,1160,0,
,,,2020,-2,
,,,4740,0.5,
,,,4010,-4,
,,,800,-2,
,,,130,-4.5,
,,,960,-2.5,
,,,3330,4,
,,,1280,-674.5,
,,,3030,1,
,,,1390,-2,
,,,2210,-0.5,
,,,1150,-0.5,
,,,650,-2.5,
,,,1560,-2.5,
,,,370,-2,
,,,1720,-2,
,,,320,-3.5,
,,,300,3.5,
,,,2620,-1,
,,,6000,-3.5,
,,,980,1.5,
,,,7690,1.5,
,,,1970,-1,
,,,300,-8,
,,,390,-4,
,,,1290,-4,
,,,4990,-1,
,,,800,-2.5,
,,,170,1.5,
,,,1770,-2.5,
,,,7790,-1,
,,,940,-5,
,,,930,-1.5,
,,,2070,-7.5,
,,,200,-1.5,
,,,8020,-4,
,,,2720,1,
,,,1450,-3.5,
,,,5830,7,
,,,3110,0.5,
,,,150,0.5,
,,,2080,2.5,
,,,2060,-3,
,,,1780,1,
,,,3600,1.5,
,,,1830,5,
,,,900,0,
,,,3430,-2,
,,,1020,1.5,
,,,950,1,
,,,1010,-2.5,
,,,2370,-3,
,,,1080,-1,
,,,490,-2,
,,,3350,2,
,,,2370,1,
,,,1350,-1.5,
,,,330,2.5,
,,,2670,3,
,,,2040,-2,
,,,670,0.5,
,,,790,-5,
,,,2470,-5,
,,,3340,-1,
,,,4100,0,
,,,4230,-1.5,
,,,850,-2.5,
,,,1370,-1.5,
,,,140,-2,
,,,210,0,
,,,4170,-2,
,,,1810,-4.5,
,,,5010,-3,
,,,550,0.5,
,,,1480,-2,
,,,990,0.5,
,,,830,1.5,
,,,2480,-2,
,,,2340,3.5,
,,,2320,2,
,,,1570,-5,
,,,180,-4,
,,,3140,3,
,,,440,-6,
,,,1530,-3.5,
,,,1450,0.5,
,,,1780,-2,
,,,260,-2,
,,,8040,-1,
,,,1110,-1,
,,,1150,-5.5,
,,,2080,-6,
,,,5860,-3.5,
,,,230,-4,
,,,490,-1.5,
,,,1080,0,
,,,1600,-5,
,,,2640,1.5,
,,,3740,2,
,,,440,0,
,,,6870,2.5,
,,,1840,-6.5,
,,,1660,0.5,
,,,3900,-4,
,,,1000,-2.5,
,,,1390,-2.5,
,,,3750,-1.5,
,,,7280,1,
,,,6150,-1.5,
,,,230,2,
,,,440,-6.5,
,,,430,-9,
,,,6520,-4.5,
,,,870,-4,
,,,1050,-3.5,
,,,3090,0.5,
,,,3310,0,
,,,2290,-4,
,,,130,-3,
,,,1920,-0.5,
,,,990,-2,
,,,5650,-1,
,,,2680,0.5,
,,,3960,0.5,
,,,2120,1.5,
,,,5090,0,
,,,6810,-1,
,,,6870,2,
,,,590,0,
,,,510,-3.5,
,,,5780,-4.5,
,,,2250,0,
,,,3310,2,
,,,2090,1,
,,,140,-2,
,,,590,2,
,,,10320,-4.5,
,,,270,0.5,
,,,840,-5,
